timestamp;yaw;pitch;roll
53817;167.43;13.12;-5.94
53863;187.83;13.68;1.93
53913;185.96;13.79;1.06
53965;177.06;12.20;-1.43
54013;166.62;10.83;-4.68
54065;149.87;11.32;-10.09
54113;137.41;11.57;-14.55
54165;121.20;10.60;-23.34
54213;110.53;8.21;-29.18
54265;99.95;1.85;-30.85
74594;103.57;2.98;-30.33
74642;103.93;3.12;-29.85
74694;104.66;3.19;-28.95
74742;105.66;3.40;-28.49
74794;110.29;5.28;-27.53
74842;118.77;8.71;-24.77
74894;140.62;13.79;-15.48
74942;161.32;17.16;-9.39
74994;157.85;15.16;-11.61
75045;150.93;14.03;-14.24
75092;137.64;11.71;-18.44
75142;122.10;8.90;-22.80
75194;103.71;4.46;-27.75
75242;89.89;-0.44;-31.86
75294;74.11;-7.98;-36.97
75342;68.49;-11.19;-38.36
75394;76.95;-9.32;-35.01
75442;88.75;-2.96;-33.55
75494;96.39;1.49;-31.12
75545;97.41;1.50;-29.36
75592;97.44;1.47;-28.46
75644;97.16;1.78;-28.11
75692;97.15;1.77;-27.70
75744;97.33;1.84;-27.12
75792;97.55;1.98;-26.68
75844;98.26;1.85;-25.53
75892;98.74;1.64;-24.77
75944;99.65;1.70;-23.91
75992;101.45;2.42;-23.20
76046;107.14;4.52;-21.29
76092;116.94;6.87;-17.77
76142;135.92;9.43;-10.66
76194;157.55;12.63;-6.52
76242;151.71;11.06;-6.50
76294;141.12;10.33;-11.75
76342;128.98;8.05;-14.47
76394;111.87;5.12;-19.24
76442;99.26;2.26;-23.43
76494;80.98;-1.86;-31.29
76545;67.90;-6.83;-33.66
76592;61.11;-8.61;-36.29
76644;71.93;-6.42;-33.17
76692;83.21;-0.73;-30.49
76744;90.38;2.49;-26.47
76792;91.19;2.61;-25.14
76844;91.14;2.81;-24.51
76892;90.82;3.02;-24.33
76944;90.38;2.85;-23.94
76992;90.04;2.72;-23.71
77046;89.63;2.73;-23.35
77092;89.48;2.64;-22.96
77142;89.76;2.49;-22.30
77194;90.50;2.15;-21.26
77242;91.22;2.07;-20.57
77294;93.48;2.25;-19.75
